id,description
ID,ID
date,Start Date
midgam,
version,1.  2015 Version
age,2. How old are you?
agegroup,3. What age group do you belong to?
sex,4. Sex
v5,5. Are you an Israeli citizen?
v6,"6. In your opinion, what is Israel's general situation?"
v7,7. What do you think about the way the government is handling the problems that
v8,"8.  In your opinion, what is the most important problem that the government has"
v9,"9.  In your opinion, in the past 2 years, has the economic situation of Israel i"
v10,10.  And what about your personal economic situation:  Would you say that in the
v11,"11.  In your opinion, is it possible to reach a peace agreement with the Palesti"
v12,"12.  In your opinion, what are the final aspirations of the Arabs?"
v13,13.  What do you think Israel should emphasize in order to prevent war between i
v14,14. Do you believe Israel should continue to hold Judea and Samaria?
v15,15.  To what degree are you worried or not worried that you or one of your famil
v16,16.  To what extent are you worried or not worried that you or one of your famil
v17,"17.  There are four values that conflict with each other to some extent, and are"
v18,18.  Second most important?
v19,19.  Third most important?
v20,20.  Fourth most important?
v21,21.  There are situations in which there is a contradiction between democracy an
v22,22.  Some think it is the government's responsibility to take care that everyone
v23,23.  There are situations in which there is a contradiction between preserving t
v24,"24.  In your opinion, should Israel agree or disagree to the establishment of a"
v25,25. Should Israel be prepared to return or should it continue to keep the Arab n
v26,"26. In your opinion, was Operation Protective Edge (Mivtza Tzuk Eitan) successfu"
v27,27.To what extent do you believe each of the following situations is dangerous?
v28,28.To what extent do you believe each of the following situations is dangerous?
v29,29.To what extent do you believe each of the following situations is dangerous?
v30,30.To what extent do you believe each of the following situations is dangerous?
v31,"31. In your opinion, should the government of Israel make sure that public life"
v32,"32. About the structure of economic life in the country, do you support more a c"
v33,33.To what extent do you agree or disagree with each of the following statements
v34,34.To what extent do you agree or disagree with each of the following statements
v35,35.To what extent do you agree or disagree with each of the following statements
v36,36.To what extent do you agree or disagree with each of the following statements
v37,37.To what extent do you agree or disagree with each of the following statements
v38,38.To what extent do you agree or disagree with each of the following statements
v39,39.To what extent do you agree or disagree with each of the following statements
v40,40.To what extent do you agree or disagree with each of the following statements
v41,41.To what extent do you agree or disagree with each of the following statements
v42,42.To what extent do you agree or disagree with each of the following statements
v43,43.To what extent do you agree or disagree with each of the following statements
v44,44.To what extent do you agree or disagree with each of the following statements
v45,45.To what extent do you agree or disagree with each of the following statements
v46,46.To what extent do you agree or disagree with each of the following statements
v47,47.To what extent do you agree or disagree with each of the following statements
v48,48.To what extent do you agree or disagree with each of the following statements
v49,49.  To what extent do you tend to talk with your friends and family about polit
v50,50.  To what extent can you and your friends influence the policies of the gover
v51A,51A. What is your attitude toward each of the following political parties: The L
v51B,51B. What is your attitude toward each of the following political parties: The Z
v51C,51C. What is your attitude toward each of the following political parties: HaBay
v51D,51D. What is your attitude toward each of the following political parties: Kulan
v51E,51E. What is your attitude toward each of the following political parties: Shas
v51F,51F. What is your attitude toward each of the following political parties: Yesh
v51G,51G. What is your attitude toward each of the following political parties: Meret
v51H,51H. What is your attitude toward each of the following political parties: Israe
v51I,51I. What is your attitude toward each of the following political parties: Yacha
v51J,51J. What is your attitude toward each of the following political parties: The J
v51K,51K. What is your attitude toward each of the following political parties: Hadas
v51L," 51L. What is your attitude toward each of the following political parties: Ta""a"
v51M,51M. What is your attitude toward each of the following political parties: The I
v51N,51N. What is your attitude toward each of the following political parties: Balad
v56A,56A. And what is your attitude toward each of the following people: Benjamin Net
v56B,56B. And what is your attitude toward each of the following people: Yitzhak Herz
v56Z,56Z. And what is your attitude toward each of the following people: Tzippi Livni
v56C,56C. And what is your attitude toward each of the following people: Naphtali Ben
v56D,56D. And what is your attitude toward each of the following people: Moshe Kachlo
v56E,56E. And what is your attitude toward each of the following people: Aryeh Deri
v56F,56F. And what is your attitude toward each of the following people: Yair Lapid
v56G,56G. And what is your attitude toward each of the following people: Zahava Galon
v56H,56H. And what is your attitude toward each of the following people: Avigdor Lieb
v56I,56I. And what is your attitude toward each of the following people: Eli Yishai
v56J,56J. And what is your attitude toward each of the following people: Ayman Odeh
v56L,56L. And what is your attitude toward each of the following people: Ahmad Tibi
v56M,56M. And what is your attitude toward each of the following people: Masud Ghnaim
v56N,56N. And what is your attitude toward each of the following people: Jamal Zachal
v56O,56O. And what is your attitude toward each of the following people: Haneen Zoabi
v56P,56P. And what is your attitude toward each of the following people: Aida Touma-S
v57,57.  Who in your opinion will deal with Israel's economic and social problems be
v58,58.  Who in your opinion will deal with Israel's foreign affairs and security is
v59,"59. In your opinion, are there or arent there differences between the major par"
v60,"60. In your opinion, are there or arent there differences between the major par"
v61,"61. In your opinion, are there or arent there differences between the major par"
v62,"62. In your opinion, are there or arent there differences between the major par"
v63,"63. In your opinion, are there or arent there differences between the major par"
v64,64. There are different factors that influence people's decision to vote for a s
v65,65. To what extent will the following issues influence or not influence your vot
v66,66. To what extent will the following issues influence or not influence your vot
v67,67. To what extent will the following issues influence or not influence your vot
v68,68. To what extent will the following issues influence or not influence your vot
v69,69. To what extent will the following issues influence or not influence your vot
v70,70. To what extent will the following issues influence or not influence your vot
v71,71. With what political tendency do you identify?
v72,"72. Would you be prepared or not prepared to have taxes in the country raised, m"
v73,"73.  Do you think the government should spend more, less, or the current amount"
v74,"74.  Do you think the government should spend more, less, or the current amount"
v75,"75.  Do you think the government should spend more, less, or the current amount"
