id,description
resp_id,
date,
version,1. Version
age,2. How old are you?
agegroup,For those who did not answer: 3. What age group do you belong to?
gender,4. Sex
educ,136. What is your highest level of education:
v5,5. Are you an Israeli citizen?
v6,"6. In your opinion, what is Israel's general situation?"
v7,7. What do you think about the way the government is handling the problems that 
v8,"In your opinion, what is the most important problem that the government has to d"
v8_code_1,"In your opinion, what is the most important problem that the government has to d"
v8_code_2,"In your opinion, what is the most important problem that the government has to d"
v9,"9. In your opinion, in the past 4 years, has the economic situation of Israel im"
v10,10.  And what about your personal economic situation:  Would you say that in the
v11,"11. And what about the country’s security situation – In your opinion, in the pa"
v12,"12.  In your opinion, is it possible to reach a peace agreement with the Palesti"
v13,13.  What do you think Israel should focus on in order to prevent war with its n
v14,14.  To what extent are you worried or not worried that you or one of your famil
v15,15. When thinking about possible directions for the development of the state of 
v16,16. Which is second most important?
v17,17. Third most important?
v18,18.  Fourth?
v19,"19.  In your opinion, should Israel agree or not agree to the establishment of a"
v20,"20.  About the structure of economic life in the country, which do you support m"
v21,"21.  In your opinion, should the government of Israel see to it that public life"
v22,"22. Recently, it has been argued that the investigations of the Prime Minister a"
v23,23. People with a high income should pay more taxes than they currently pay.
v24,24. Politicians do not take into account the opinion of the average citizen
v25,"25. We should allow a political leader, who is successful in his job, to continu"
v26,26. There are those who argue that a Palestinian state alongside the state of Is
v27,27. The main aspiration of Arab citizens in Israel is to be full equality as cit
v28,28. Citizen equality for Arab citizens can be achieved mainly through a politica
v29,29. The Arab political parties are doing everything in their power to advance th
v30,30. Participating in Knesset elections harms the struggle for Palestinian nation
v31,"31. Is there, in Israel, a political party and/or politician that represent your"
v33,"33. Overall, do the laws that are passed in the Knesset represent your views?"
v34,"34. Is there, in Israel, a political party which has representatives that are si"
v36,36. Does the Knesset represent people with personal characteristics and backgrou
v37,37. Is there a political party and/or politician that gives you a sense of belon
v39,39. Does the Knesset give you a sense of belonging and pride in your identity?
v40,40. Do the party and/or politician that you voted for use the authority you gave
v42,42. Does the Knesset use the authority we gave it in a responsible manner for th
v43,43. Think about your vote for a certain political party in the election. Which o
v44,"44. And regarding the Knesset, of the following, which is most important to you?"
v45,45. To what extent do you tend to discuss political issues with your friends and
v46,46.  To what extent can you and your friends influence the policies of the gover
v47,47.  Who in your opinion will deal best with Israel's economic and social proble
v48,48.  Who in your opinion will deal best with Israel's foreign affairs and securi
v49A,49A. Likud
v49B,49B. Kahol-Lavan (Blue & White)
v49C,49C. HaAvoda (Labor)
v49D,49D. HaYamin HaHadash (The New Right)
v49E,49E. HaBayit HaYehudi
v49F,49F. Meretz
v49G,49G. Kulanu
v49H,49H. Yisrael Beiteinu
v49I,49I. Shas
v49S,49S. Otzma Yehudit
v49J,49J. Hadash-Ta’al
v49R,49R. Ra’am-Balad
v50,50. rightists (“Yemanim”)?
v51,51. lefists (“Smolanim”)?
v52A,52A. Benjamin Netanyahu?
v52B,52B. Benny Gantz
v52C,52C. Yair Lapid
v52D,52D. Avi Gabbay
v52E,52E. Naftali Bennett
v52F,52F. Bezalel Smotrich
v52G,52G. Tamar Zandberg
v52H,52H. Moshe Kahlon
v52I,52I. Avigdor Lieberman
v52J,52J. Aryeh Deri
v52K,52K. Ayman Odeh
v52R,52R. Ahmad Tibi
v52S,52S. Mansour Abbas
v52T,52T. Mtanes Shehadeh
v52U,52U. Aida Touma-Suleiman
v53,53. What political tendency do you identify with?
v54,54. How important to you is your identification as a [leftist / rightist / centr
v55,55. When someone criticizes [rightists /leftists /centrists] it feels like a per
v56,56. When you meet another supporter of the [right/left/center] you feel connecte
v57,57. When people say positive things about [rightists /leftists /centrists] it ma
v58,58. Social-economic policy
v59,59. State and religion
v60,60. Peace and territories
v61,61. Security and terrorism
v62,62. Their attitude towards democracy
v63,63. There are different factors that influence people's decision to vote for a s
v64,64. Social-economic policy
v65,65. State and religion
v66,66. Peace and territories
v67,67. Security and terrorism
v68,68. Corruption
v69,69. Attitude towards democracy
v70,70.  Leadership ability:
v71,71.  Cares about people like you:
v72,72.  Integrity and decency:
v73,"73. To the best of your knowledge, what is the threshold of representation in th"
v75,75. To which party do you feel closest?
v76,76. To what extent is your identity as a supporter of [party mentioned by interv
v77,77. When someone criticizes supporters of [the party mentioned] it feels like a 
v78,78. When you meet another supporter of [the party mentioned] you feel connected 
v79,79. When people say positive things about supporters of [the party mentioned] it
v80,80. Members of the government come from all sectors of society
v81,81. The government in Israel tailors its policy to the public’s viewpoints
v82,82. The government makes most people feel a sense of belonging and pride
v83,83. There is representation of the different groups of Israeli society in the cu
v84,84. The composition of the Knesset represents well the many viewpoints of the Is
v85,85. The Knesset inspires a sense of belonging and pride in most Israelis
v86,86. Politicians make promises during the campaign that they have no intention of
v87,87. Most politicians in Israel are not corrupt
v88,"88. There is too much interference in the elections, such that the results don’t"
v89,89. The electoral system in Israel distorts the voters’ will
v90,"90. Of the following, what do you think is the biggest threat to the Israeli pol"
v91,"91. If you could pick one politician to represent you in the Knesset, which of t"
v92,"92. Do you use social media such as Whatsapp, Facebook, Twitter, Instagram, Tele"
v93,93. News websites or newspapers
v94,94. News on one of the television channels
v95,95. News on the radio
v96,"96. Social media such as Whatsapp, Facebook, Twitter, Instagram, Telegram, etc."
v97,"97. In the last week, how many times did content from politicians and political "
v98,98. Write on the Facebook page or Twitter account of a politician or party
v99,99. Respond to content that a politician or political party posted
v100,100. Share content from a politician or political party
v101,101. Read content from a politician or political party that appeared on your fee
v102,"102. “Follow” the page of a politician or political party on social media, or jo"
v103,"103. Write your opinion on a political topic on social media, or shared politica"
v104,"104 If the Knesset elections were to take place today, which party list would yo"
v105,"105. In these elections, the electoral threshold is such that only a party that "
v105A,105A: which party
v106,"106. In your opinion, after the elections, the government will be based on:"
v107,107. And which of the following governments would you prefer?
v108,108. Which of the following lists did you vote for in the 2015 Knesset elections
v109,"109. In general, to what extent do you feel there is a political party or politi"
v110,"110. And in general, to what extent do you believe the Israeli political system "
v111,111.  There is much talk about left and right in politics. Where would you rank 
v112,"112.  To the best of your knowledge, who is the current Speaker of the Knesset? "
v113,"113. To the best of your knowledge, with which state did Israel recently renew d"
v114,114. How important is it for you to live in a country that is governed democrati
v115,115. How democratically is Israel being governed today?
v116,116. How satisfied are you with how the political system is functioning in Israe
v117,117. How important to you is your identity as an Israeli?
v118,118. And how important to you is your identity as a Jew? (For Arabs: “as a Pales
v119,"119. You feel committed to the democratic regime in Israel, even if there are ti"
v120,"120. In order to take care of Israel’s unique problems, there needs to be a stro"
v121,121. There are times it seems it would be preferable to deviate from the democra
v122,122. The state has to ensure full and equal social and political rights to all c
v123,123. We must secure the freedom of speech even to people who speak out against t
v124,124. People who compromise in politics are actually selling out on their princip
v125,125. The government
v126,126. The Knesset
v127,127. The Supreme Court
v128,128. Politicians
v129,129.  What is your family status?
v130,130.  To what extent do you observe religious tradition?
