id,description
id,Id
date,Start Date
agree,(Agree) Will you agree to participate in the study?
age,age. How old are you?
agegroup,agegroup. What age group do you belong to?
gender,gender
educ,136. What is your highest level of education
v5,5. Are you an Israeli citizen?
v6,"6. In your opinion, what is Israel's general situation?"
v8_code,"8. In your opinion, what is the most important problem that the government has t"
v501,501. Israel is holding an election for the third time within less than a year. F
v514,"514. What do you think of Trump’s peace plan, called the ‘Deal of the Century’?"
v12,"12. In your opinion, is it possible to reach a peace agreement with the Palestin"
v13,13. What do you think Israel should focus on in order to prevent war with its ne
v15,"15. Of the following four values, which is the most important to you?"
v16,16. Which is second most important?
v19,"19. In your opinion, should Israel agree or not agree to the establishment of a "
v20,"20. About the structure of economic life in the country, which do you support mo"
v21,"21. In your opinion, should the government of Israel see to it that public life "
v503A,"503A. Following the indictment against the Prime Minister, do you think Netanyah"
v25,"25. We should allow a political leader, who is successful in his job, to continu"
v22,22. There are claims that the indictment against the Prime Minister is part of a
v26,26. There are those who argue that a Palestinian state alongside the state of Is
v27,27. The main aspiration of Arab citizens in Israel is to have full equality as c
v28,28. Civic equality for Arab citizens can be achieved mainly through a political 
v29,29. The Arab political parties are doing everything in their power to advance th
v30,30. Participating in Knesset elections harms the struggle for Palestinian nation
v502,502. HaReshima HaMeshutefet (Joint List) should act to enter into a coalition wi
v45,45. To what extent do you tend to discuss political issues with your friends and
v46,46. To what extent can you and your friends influence the policies of the govern
v47,47. Who in your opinion will deal best with Israel's economic and social problem
v48,48. Who in your opinion will deal best with Israel's foreign affairs and securit
v49A,49A. Likud
v49B,49B. Kahol-Lavan (Blue & White)
v49C,49C. HaAvoda (Labor)-Gesher-Meretz
v49D,49D. Yamina
v49H,49H. Yisrael Beiteinu
v49I,49I. Shas
v49S,49S. Otzma Yehudit
v49K,49K. Yahadut Hatora
v49J,49J. HaReshima HaMeshutefet
v50,50. Rightists (“Yemanim”)?
v51,51. Leftists (“Smolanim”)?
v52A,52A. Benjamin Netanyahu
v52B,52B. Benny Gantz
v52I,52I. Avigdor Lieberman
v52K,52K. Ayman Odeh
v52R,52R. Ahmad Tibi
v63,63. There are different factors that influence people's decision to vote for a s
v64,64. Social-economic policy
v65,65. State and religion
v66,66. Peace and territories
v67,67. Security and terrorism
v68,68. Corruption
v69,69. Attitude towards democracy
v504,504. Preventing another election
v73,"73. To the best of your knowledge, what is the threshold of representation in th"
v505,"505. How frequently do you catch up on the news in the daily newspaper, the tele"
v506,"506. In the last week, how many times did you read political information and new"
v104E,"E104. If the Knesset election were to take place today, which party list would y"
v106,"106. In your opinion, after the election, will the government be based on:"
v107,107. And which of the following governments would you prefer?
v507,507. What party list did you vote for in the last Knesset election held in Septe
v508,508. And what party list did you vote for in the Knesset election held in April 
v509,509. What party list did you vote for in the 2015 Knesset election?
v111,111. There is much talk about left and right in politics. Where would you rank y
v510,"510. To the best of your knowledge, who is the current President of the Supreme "
v511,"511. To the best of your knowledge, which Ministry, other than the Ministry of D"
v115,115. How democratically is Israel being governed today?
v116,116. How satisfied are you with how the political system is functioning in Israe
v512_code,512. Different people assign different meaning to the term “democracy”. In one o
v513,513. Where were you born?
v134,"134. If you were not born in Israel, when did you immigrate to Israel?"
v135,135. How would you define yourself?
v137,137. Did you attend high school or post high school studies in any religious fra
v139,"139. The average monthly household expenditure in Israel is approximately 16,500"
v140,140. How many rooms do you have in your home?
v141,141. How many people live in your household (including soldiers)?
v143_code,143. What is your religion?
v144,"144. In terms of religion, how do you define yourself?"
v147,147. Thank you for your time. It will be very important to us to return to you a
Language,Language
sector,sector
date_after,Start Date
agree_after,(Agree) Will you agree to participate in the research?
E1_after,E1. Did you vote in the last Knesset election?
E2_after,E2. What party list did you vote for in the last Knesset election?
E4_after,"E4. On election day, to what extent was it important to you personally that the "
E7_after,"E7 . And when you think about the election that just took place, what was it mai"
E8A_after_code1,E8A. What is Right as you understand it? (code 1)
E8A_after_code2,E8A. What is Right as you understand it? (code 2)
E8A_after_code3,E8A. What is Right as you understand it? (code 3)
E8B_after_code1,E8B. What is Left as you understand it? (code 1)
E8B_after_code2,E8B. What is Left as you understand it? (code 2)
E8B_after_code3,E8B. What is Left as you understand it? (code 3)
E9_after,E9. And now given the election results - which coalition would you prefer?
E10_after,E10. To what extent are you satisfied or dissatisfied with the democracy in Isra
E147_after,"E147. If there will be another election, will you agree that we return to you wi"
E17_after,Language
E18_after,Sector
Institute,Institute
weights_panel_1,weights_panel_1
weights_panel_2,weights_panel_2
educ_w,RECODE of v136
religiosity_w,RECODE of v144
educ_arabs_w,RECODE of v136
