id,description
resp_id,Respons Code
date,Start Date
agree,Do you agree to participate in the study?
age,How old are you?
agegroup,What age group do you belong to?
gender,gender
educ,What is your highest level of education?
v144,"In terms of religion, how do you define yourself?"
citizen,Are you an Israeli citizen?
v6,"In your opinion, what is Israel's general situation?"
v8c,"In your opinion, what is the most important problem that the government has to d"
v601,Israel is holding an election for the fourth time within less than two years. Fr
v602,"Compared to your economic situation a year ago, namely before the outbreak of th"
v603,To what extent are you worried or not worried that your family members might get
v604,What do you think about the way the government is handling the Covid-19 crisis?
v19,"In your opinion, should Israel agree or not agree to the establishment of a Pale"
v20,"About the structure of economic life in the country, which do you support more -"
v21,"In your opinion, should the government of Israel see to it that public life in t"
v26,There are those who argue that a Palestinian state alongside The State of Israel
v27,The main aspiration of Arab citizens in Israel is to have full equality as citiz
v28,Civic equality for Arab citizens can be achieved mainly through a political stru
v29,The Arab political parties are doing everything in their power to advance the in
v30,Participating in Knesset elections harms the struggle for Palestinian national r
v502,The Arab parties (HaReshima HaMeshutefet and Ra’am) should be active in order to
v605,The split in HaReshima HaMeshutefet (Joint List) harms the interests of the Arab
v503A,Do you think Netanyahu can continue serving as prime minister while under trial?
v25,"We should allow a political leader, who is successful in his job, to continue in"
v22,There are claims that the indictments against the Prime Minister are part of a “
v45,To what extent do you tend to discuss political issues with your friends and fam
v46,To what extent can you and your friends influence the policies of the government
v606,Have you participated in a demonstration in the past year?
v607,Who in your opinion will deal best with the COVID-19 crisis?
v48,Who in your opinion will deal best with Israel's foreign affairs and security pr
v49A,Likud
v49B,Kahol-Lavan (Blue & White)
v49C,HaAvoda (Labor)
v49F,Meretz
v49H,Yisrael Beiteinu
v49Z,Yesh Atid
v49X,Tikva Hadasha (New Hope)
v49D,Yamina
v49S,Hatzionut Hadatit (Religious Zionist Party)
v49I,Shas
v49K,Yahadut Hatora
v49J,HaReshima HaMeshutefet
v49Y,Ra’am (headed by Mansour Abbas)
v52A,Benjamin Netanyahu
v52B,Benny Gantz
v52C,Yair Lapid
v52E,Naftali Bennett
v52Z,Gideon Sa’ar
v52D,Merav Michaeli
v52G,Nitzan Horowitz
v52K,Ayman Odeh
v52S,Mansour Abbas
v52R,Ahmad Tibi
v64,To what extent will each of the following issues influence or not influence your
v65,To what extent will each of the following issues influence or not influence your
v66,To what extent will each of the following issues influence or not influence your
v68,To what extent will each of the following issues influence or not influence your
v69,To what extent will each of the following issues influence or not influence your
v608,To what extent will each of the following issues influence or not influence your
v104,"If the Knesset election were to take place today, which party list would you vot"
v504,To what extent the consideration of preventing another election in the near futu
v609,To what extent the consideration of whether the party will or will not sit under
v106,"In your opinion, after the election, will the government be based on:"
v107,And which of the following governments would you prefer?
v610,"What party list did you vote for in the last Knesset election, held a year ago, "
v111,There is much talk about left and right in politics. Where would you rank yourse
v611,"In the last week, how many times did you catch up on political information and n"
v506,"In the last week, how many times did you read political information and news on "
v612,"In the last week, which of the following actions did you take on the internet?"
v73,"To the best of your knowledge, what is the threshold of representation in the Kn"
v510,"To the best of your knowledge, who is the current President of the Supreme Court"
v511,"To the best of your knowledge, which Ministry, other than the Ministry of Defens"
v616,"Compared to other democracies, in your opinion, is the political system in Israe"
v617,"And in your opinion, do governments in Israel survive a shorter, similar, or a l"
v618,"And compared to other democracies, in your opinion, are governments in Israel su"
v115,How democratically is Israel being governed today?
v116,How satisfied are you with how the political system is functioning in Israel the
v63,There are different factors that influence people's decision to vote for a speci
v620A,Likud
v620B,Kahol-Lavan (Blue & White)
v620Z,Yesh Atid
v620C,HaAvoda (Labor)
v620F,Meretz
v620X,Tikva Hadasha (New Hope)
v620D,Yamina
v620S,Hatzionut Hadatit (Religious Zionist Party)
v620H,Yisrael Beiteinu
v620I,Shas
v620K,Yahadut Hatora
v620J,HaReshima HaMeshutefet
v620Y,Ra’am (headed by Mansour Abbas)
v621,"Where would you rank yourself along a left-right continuum from 0 to 10, where 0"
v50,On a scale where 0 is rejection/hatred; 10 is support/sympathy; and 5 is in-betw
v51,"On a scale where 0 is complete rejection/hatred, 10 is complete support, and 5 i"
v622,"On a scale where 0 is complete rejection/hatred, 10 is complete support, and 5 i"
v623,"On a scale where 0 is complete rejection/hatred, 10 is complete support, and 5 i"
v15A,"Of the following four values, which is the most important to you?"
v15B,"And of the following four values, which is second most important?"
v12,"In your opinion, is it possible to reach a peace agreement with the Palestinians"
v513,Where were you born?
v134,"If you were not born in Israel, when did you immigrate to Israel?"
v137,Did you attend high school or post high school studies in any religious framewor
v143_code,What is your religion?
v139,"The average monthly household expenditure in Israel is approximately 16,500 NIS."
v140,How many rooms do you have in your home?
v141,How many people live in your household (including soldiers)?
v147,Thank you for your time. It will be very important to us to return to you after 
sector,
lang,
data_collection_mode,
resp_id_after,Respons Code
date_after,Start Date
Agree_after,(Agree) Do you agree to participate in the study?
F1,Did you vote in the last Knesset election?
F2,What party list did you vote for in the last Knesset election?
F3,When did you reach your final decision [to vote for the party you voted for / no
F4,"On election day, to what extent was it important to you personally that the next"
F5,To what extent were the surveys released a few days before the elections a facto
F7,"And when you think about the election that just took place, what was it mainly a"
N1,"And what about cooperation with the Arab parties in the government formation, ar"
F9,"And now given the election results, which coalition would you prefer most?"
N2,"And of the two following options, which do you prefer?"
F10,To what extent are you satisfied or dissatisfied with the democracy in Israel?
F49S_1,what is your attitude toward each of the following political parties? Hatzionut 
F49D_1,what is your attitude toward each of the following political parties? Yamina
F49J_1,what is your attitude toward each of the following political parties? HaReshima 
F49Y_1,what is your attitude toward each of the following political parties? Ra’am (hea
F49K_1,what is your attitude toward each of the following political parties? Yahadut Ha
weights_panel_1,
weights_panel_2,
weights_telephone_panel_1,
weights_telephone_panel_2,
weights_internet_panel_1,
weights_internet_panel_2,
educ_jews_w,
educ_arabs_w,
religiosity_jews_w,
age_arabs_w,
