
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

      a1                 ID number
      a6                 General situation of Israel today
      a7                 Government treatment of current national issues
      a8                 The main problem government has to deal with
      a10                Personal security situation today compared to pre-Peace Process period

****    Support for following Israeli concessions in Clinton's proposal

      a11                Palestinian State with 95% of Gaza Strip and West Bank,Israel will keep settlement blocks
      a12                Israel will give the Palestinians Jerusalem's Arab neighbourhoods
      a13                Temple Mount will be given to Palestinians,Western Wall will stay in Israeli hands
      a14                A limited number of Palestinian refugees will be allowed to return to Israel
      a15                Israel will give up control in the Jordan Valley over a few years
      a16                Support for Peace agreeement with above conditions
      a17                Will a Palestinian Peace agreement end the Arab-Israeli conflict?
      a18                Estimate Israeli public support for this agreement (percentage)
      a20                Forecast future public opinion towards agreement
      a21                Agreement with government encouragement of Arab emmigration
      a22                Support for the returning of areas of the Golan Heights to Syria for peace
      a23                Evaluation of arab aspirations
      a24                Are you worried about being injured by Arabs?

****    Arguments for supporting peace agreement

      a25                If there's no agreement there will be war
      a26                An agreement will bring more security than territories
      a27                Peace will strengthen Israel's international position
      a28                Peace will strengthen Israel economically
      a29                Peace will end the conflict with the Palestinians and the Arab world
      a30                Which of the above reasons is the most convincing?

****    Arguments for not supporting peace agreement

      a32                The territories are important for security and must not be given up
      a33                The Arabs don't keep agreements
      a34                The settlers must not be removed from their homes since the government sent them there
      a35                A better agreement can be reached
      a36                Jerusalem and the Temple Mount are Jewish Holy sites and shouldn't be given up
      a37                Which of the above reasons is the most convincing?
      a39                Level of satisfaction with Israeli democracy

****    Ranking 4 significant values

      a40                Most important value
      a41                Second most important value
      a42                Third most important value
      a43                Fourth most important value
      a44                The value to be followed in the event of halachic-democratic contradiction

****    Support for the following

      a45                Extent of support for the Labour Party
      a46                Extent of support for Ariel Sharon
      a47                Extent of support for Likud Party
      a48                Extent of support for orthodox people
      a49                Extent of support for Arafat
      a50                Extent of support for Ehud Barak
      a51                Extent of support for Binyamin Netanyahu
      a52                Extent of support for Shimon Peres
      a53                Extent of support for Arye Deri
      a54                Extent of support for Arabs
      a55                A capitalist or socialist Israeli economy
      a56                Participation of Arabs in critical decisions
      a57                The most important reason to vote for PM

****    Issues  that affect the vote for PM

      a58                Affect Jerusalem on PM voting
      a59                Affect economy on PM voting
      a60                Affect social policy on PM voting
      a61                Affect religion and state on PM voting
      a62                Affect agreement with the Palestinians on PM voting
      a63                Affect terrorism on PM voting
      a64                Candidate most capable to deal with Israel's economic issues
      a65                Candidate most capable to deal with foreign & security issues
      a66                Respondent self-ranking on a right-left political scale of 1-7

****    Difference amongst candidates' positions on following issues

      a67                Differences amongst candidate's position on: Jerusalem
      a68                Differences amongst candidate's position on: Economy
      a69                Differences amongst candidate's position on: Social policy
      a70                Differences amongst candidate's position on: State and religion
      a71                Differences amongst candidate's position on: Agreement with the Palestinians
      a72                Differences amongst candidate's position on: Terrorism
      a73                Discussing political issues with family,friends
