Sheet Name,Cell Address,Comment,Name,type,Comment Content,isSector,isOpen,otherType,comment2,finalType,Content Only,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,יהודים בלבד,ליהודים בלבד,Unnamed: 18,ערבים בלבד,לערבים בלבד,Unnamed: 21,שאלה פתוחה,פתוח,Unnamed: 24,לנשים בלבד
דמוגרפיה,$L$3,"יניב שפירא:
1 = ינואר
2 = פברואר",,scale,"יניב שפירא:
1 = ינואר
2 = פברואר",unknown,unknown,,,scale,"1 = ינואר
2 = פברואר",,,,,,,,,,,,,,
דמוגרפיה,$A$5,"יניב שפירא:
שאלה 145
אין קידוד בstata
גם ב2020 וגם ב2019
גם ב2021",,scale,"יניב שפירא:
שאלה 145
אין קידוד בstata
גם ב2020 וגם ב2019
גם ב2021",unknown,unknown,,,scale,"שאלה 145
אין קידוד בstata
גם ב2020 וגם ב2019
גם ב2021",,,,,,,,,,,,,,
דמוגרפיה,$D$6,"יניב שפירא:
1 = יהודי
2 = ערבי",,scale,"יניב שפירא:
1 = יהודי
2 = ערבי",unknown,unknown,,,scale,"1 = יהודי
2 = ערבי",,,,,,,,,,,,,,
דמוגרפיה,$F$8,"יניב שפירא:
1 = גרסה A
2 = גרסה B",,scale,"יניב שפירא:
1 = גרסה A
2 = גרסה B",unknown,unknown,,,scale,"1 = גרסה A
2 = גרסה B",,,,,,,,,,,,,,
דמוגרפיה,$I$8,"יניב שפירא:
a , b, c",יניב שפירא,scale,"a , b, c",unknown,unknown,,,scale,"a , b, c",,,,,,,,,,,,,,
דמוגרפיה,$L$9,"יניב שפירא:
1 = עברית
2 = ערבית
3 = רוסית",,scale,"יניב שפירא:
1 = עברית
2 = ערבית
3 = רוסית",unknown,unknown,,,scale,"1 = עברית
2 = ערבית
3 = רוסית",,,,,,,,,,,,,,
דמוגרפיה,$W$10,"יניב שפירא:
1 = 20-25
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,scale,"יניב שפירא:
1 = 20-25
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",unknown,unknown,,,scale,"1 = 20-25
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,,,,,,,,,,,,,
דמוגרפיה,$AB$10,"יניב שפירא:
1 = 20-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,scale,"יניב שפירא:
1 = 20-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",unknown,unknown,,,scale,"1 = 20-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,,,,,,,,,,,,,
דמוגרפיה,$AH$10,"יניב שפירא:
1 = 18-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,scale,"יניב שפירא:
1 = 18-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",unknown,unknown,,,scale,"1 = 18-24
2 = 25-29
3 = 30-34
4 = 35-39
5 = 40-44
6 = 45-49
7 = 50-54
8 = 55-64
9 = 65+",,,,,,,,,,,,,,
דמוגרפיה,$D$12,"יניב שפירא:
1 = 18-22
2 = 23-29
3 = 30-39
4 = 40-49
5 = 50-59
6 = 60-69
7 = 70-79
8 = 80 ומעלה",,scale,"יניב שפירא:
1 = 18-22
2 = 23-29
3 = 30-39
4 = 40-49
5 = 50-59
6 = 60-69
7 = 70-79
8 = 80 ומעלה",unknown,unknown,,,scale,"1 = 18-22
2 = 23-29
3 = 30-39
4 = 40-49
5 = 50-59
6 = 60-69
7 = 70-79
8 = 80 ומעלה",,,,,,,,,,,,,,
דמוגרפיה,$D$13,"יניב שפירא:
1 = male
2 = female",,scale,"יניב שפירא:
1 = male
2 = female",unknown,unknown,,,scale,"1 = male
2 = female",,,,,,,,,,,,,,
דמוגרפיה,$M$13,"יניב שפירא:
1 = אישה
2 = גבר",,scale,"יניב שפירא:
1 = אישה
2 = גבר",unknown,unknown,,,scale,"1 = אישה
2 = גבר",,,,,,,,,,,,,,
דמוגרפיה,$N$13,"יניב שפירא:
1 = זכר
2 = נקבה",,scale,"יניב שפירא:
1 = זכר
2 = נקבה",unknown,unknown,,,scale,"1 = זכר
2 = נקבה",,,,,,,,,,,,,,
דמוגרפיה,$O$13,"יניב שפירא:
1 = אישה
2 = גבר",,scale,"יניב שפירא:
1 = אישה
2 = גבר",unknown,unknown,,,scale,"1 = אישה
2 = גבר",,,,,,,,,,,,,,
דמוגרפיה,$T$13,"יניב שפירא:
1 = גבר
2 = אישה",,scale,"יניב שפירא:
1 = גבר
2 = אישה",unknown,unknown,,,scale,"1 = גבר
2 = אישה",,,,,,,,,,,,,,
דמוגרפיה,$D$14,"יניב שפירא:
1 = עממית או פחות
2 = תיכונית חלקית
3 = תיכונית מלאה - ללא בגרות
4 = תיכונית מלאה - עם בגרות
5 = על תיכונית לא אקדמית
6 = תואר אקדמאי חלקי
7 = תואר ראשון
8 = תואר שני ומעלה",,scale,"יניב שפירא:
1 = עממית או פחות
2 = תיכונית חלקית
3 = תיכונית מלאה - ללא בגרות
4 = תיכונית מלאה - עם בגרות
5 = על תיכונית לא אקדמית
6 = תואר אקדמאי חלקי
7 = תואר ראשון
8 = תואר שני ומעלה",unknown,unknown,,,scale,"1 = עממית או פחות
2 = תיכונית חלקית
3 = תיכונית מלאה - ללא בגרות
4 = תיכונית מלאה - עם בגרות
5 = על תיכונית לא אקדמית
6 = תואר אקדמאי חלקי
7 = תואר ראשון
8 = תואר שני ומעלה",,,,,,,,,,,,,,
דמוגרפיה,$S$15,"יניב שפירא:
1 = לא למד בכלל
2 = עד 4 שנים
3 = 5-8
4 = 9-10
5 = 11
6 = 12
7 = 13 + (בלי תואר)
8 = בעל תואר",,scale,"יניב שפירא:
1 = לא למד בכלל
2 = עד 4 שנים
3 = 5-8
4 = 9-10
5 = 11
6 = 12
7 = 13 + (בלי תואר)
8 = בעל תואר",unknown,unknown,,,scale,"1 = לא למד בכלל
2 = עד 4 שנים
3 = 5-8
4 = 9-10
5 = 11
6 = 12
7 = 13 + (בלי תואר)
8 = בעל תואר",,,,,,,,,,,,,,
דמוגרפיה,$D$16,"יניב שפירא:
1 = yes
2 = no",,scale,"יניב שפירא:
1 = yes
2 = no",unknown,unknown,,,scale,"1 = yes
2 = no",,,,,,,,,,,,,,
דמוגרפיה,$A$17,"יניב שפירא:
שאלה פתוחה",יניב שפירא,unknown,שאלה פתוחה,unknown,open,,,open,שאלה פתוחה,,,,,,,,,,,,,,
דמוגרפיה,$I$17,"יניב שפירא:
קידוד לתשובות תחת
nv176",,scale,"יניב שפירא:
קידוד לתשובות תחת
nv176",unknown,unknown,,,scale,"קידוד לתשובות תחת
nv176",,,,,,,,,,,,,,
דמוגרפיה,$AF$17,"יניב שפירא:
1 = צבר
2 = אירופה התיכונית והמזרחית
3 = אירופה הדרומית
4 = אירופה המערבית
5 = ארצות דוברות אנגלית
6 = צפון אפריקה
7 = המזרח התיכון
8 = המזרח הרחוק
9 = דרום אמריקה",,scale,"יניב שפירא:
1 = צבר
2 = אירופה התיכונית והמזרחית
3 = אירופה הדרומית
4 = אירופה המערבית
5 = ארצות דוברות אנגלית
6 = צפון אפריקה
7 = המזרח התיכון
8 = המזרח הרחוק
9 = דרום אמריקה",unknown,unknown,,,scale,"1 = צבר
2 = אירופה התיכונית והמזרחית
3 = אירופה הדרומית
4 = אירופה המערבית
5 = ארצות דוברות אנגלית
6 = צפון אפריקה
7 = המזרח התיכון
8 = המזרח הרחוק
9 = דרום אמריקה",,,,,,,,,,,,,,
דמוגרפיה,$A$18,"יניב שפירא:
יהודים בלבד",יניב שפירא,sector,יהודים בלבד,sector,unknown,,,sector,יהודים בלבד,,,,,,,,,,,,,,
דמוגרפיה,$D$18,"יניב שפירא:
1 = יליד אסיה/אפריקה
2 = יליד אירופה/אמריקה
3 = יליד ברה""מ/חבר העמים
4 = יליד ישראל, אב יליד ישראל
5 = יליד ישראל, אב יליד אסיה/אפריקה
6 = יליד ישראל, אב יליד אירופה/אמריקה
7 = יליד ישראל, אב יליד בהר""מ/חבר העמים
8 = מסרב להשיב",,scale,"יניב שפירא:
1 = יליד אסיה/אפריקה
2 = יליד אירופה/אמריקה
3 = יליד ברה""מ/חבר העמים
4 = יליד ישראל, אב יליד ישראל
5 = יליד ישראל, אב יליד אסיה/אפריקה
6 = יליד ישראל, אב יליד אירופה/אמריקה
7 = יליד ישראל, אב יליד בהר""מ/חבר העמים
8 = מסרב להשיב",unknown,unknown,,,scale,"1 = יליד אסיה/אפריקה
2 = יליד אירופה/אמריקה
3 = יליד ברה""מ/חבר העמים
4 = יליד ישראל, אב יליד ישראל
5 = יליד ישראל, אב יליד אסיה/אפריקה
6 = יליד ישראל, אב יליד אירופה/אמריקה
7 = יליד ישראל, אב יליד בהר""מ/חבר העמים
8 = מסרב להשיב",,,,,,,,,,,,,,
דמוגרפיה,$F$18,"יניב שפירא:
1 = ישראל
2 = אסיה או אפריקה
3 = אירופה או אמריקה
4 = בהר""מ/חבר העמים",,scale,"יניב שפירא:
1 = ישראל
2 = אסיה או אפריקה
3 = אירופה או אמריקה
4 = בהר""מ/חבר העמים",unknown,unknown,,,scale,"1 = ישראל
2 = אסיה או אפריקה
3 = אירופה או אמריקה
4 = בהר""מ/חבר העמים",,,,,,,,,,,,,,
